Part,Description,List Price,Customer Price,Core Price,Env Charge,Compressed Part
7B0 103 483 A,Gasket - Valve Cover,30.51,17.03,0,0,7B0103483A
06E 103 484 G,Gasket - Valve Cover,26.13,14.71,0,0,06E103484G
07C 103 484 C,Gasket - Valve Cover,70.96,32.32,0,0,07C103484C
07D 103 484 C,Gasket - Valve Cover,50.09,22.8,0,0,07D103484C
026 103 485 A,Oil Filler Cap,4.67,2.16,0,0,026103485A
06C 103 485 N,Oil Filler Cap,14.81,8.34,0,0,06C103485N
06C 103 485 P,Oil Filler Cap,22.59,12.73,0,0,06C103485P
078 103 485 B,Oil Filler Cap,19.57,8.66,0,0,078103485B
059 103 487,Oil Filler Cap Gasket,2.09,1.18,0,0,059103487
028 103 491 J,Breather Hose,52.98,24.57,0,0,028103491J
037 103 493 AE,Breather Hose,10.04,5.76,0,0,037103493AE
037 103 493 D,Breather Hose,26.43,12.14,0,0,037103493D
038 103 493 P,Breather Hose,11.26,5.08,0,0,038103493P
048 103 493 A,Breather Hose,31.15,14.65,0,0,048103493A
06A 103 493 BD,Breather Hose,34.96,23.11,0,0,06A103493BD
028 103 500,Grommet,3.9,2.38,0,0,028103500
028 103 532 A,Valve Cover Grommet,2.51,1.13,0,0,028103532A
62716,Guide Rail,26.74,15.45,0,0,62716
058 103 598 C,Oil Pan,460.78,209.78,0,0,058103598C
06J 103 600 E,Oil Pan,154.39,86.9,0,0,06J103600E
021 103 601 B,Oil Pan,279.09,127.07,0,0,021103601B
021 103 603 L,Oil Pan,182.63,102.8,0,0,021103603L
038 103 601 NA,Oil Pan,102.73,57.83,0,0,038103601NA
049 103 601,Oil Pan - Engine,54.99,30.95,0,0,049103601
06A 103 601 T,Oil Pan,285.33,129.92,0,0,06A103601T
06B 103 601 P,Oil Pan,249.11,113.43,0,0,06B103601P
06F 103 601 L,Oil Pan,207.9,99,0,0,06F103601L
068 103 601 L,Oil Pan - Engine,66.33,30.21,0,0,068103601L
038 103 603 M,Oil Pan,167.03,76.05,0,0,038103603M
078 103 604 AA,Oil Pan,103.87,60.59,0,0,078103604AA
078 103 604 H,Oil Pan,186.97,85.98,0,0,078103604H
048 103 609 B,Gasket - Oil Pan,32.21,17.97,0,0,048103609B
056 103 609 A,Gasket - Oil Pan,12.71,7.15,0,0,056103609A
058 103 609,Gasket - Oil Pan,54.56,13.87,0,0,058103609
038 103 714,Bolt - Camshaft Bracket,2.82,2.12,0,0,038103714
038 103 714 A,Bolt - Rocker Lever,20.71,8.4,0,0,038103714A
078 103 610 E,Gasket - Oil Pan,27.89,12.82,0,0,078103610E
038 103 663 B,Dipstick Funnel,15.73,10.89,0,0,038103663B
06E 103 650 A,Gasket - Spark Plug Tube,16.12,9,0,0,06E103650A
022 103 765 A,PCV Valve,368.46,169.27,0,0,022103765A
